parameter,response_var,mean_abs_elasticity,median_abs_elasticity,sd_elasticity,iqr_elasticity,mean_variance_explained,median_variance_explained,mean_cv,n_sites,n_sites_significant,constraint_priority
leafC,AbvGrndWood,2.054415888324473,1.7479089985907141,2.0934406433885244,4.211723112646174,4.513578775844051,4.517069483042472,0.042187726820776955,20,10,0.08667113627289669
fracLeafFall,AbvGrndWood,2.0480152938381004,1.7941677176222117,1.378518472809006,2.725144281541196,4.251869733087247,4.255398500666804,0.0028993116006014326,20,0,0.005937834499633956
AmaxFrac,AbvGrndWood,1.1698866616851162,0.9855337013259752,1.2060377935258413,2.425771114096523,4.322245300902388,4.326351783693668,0.08188182554093446,20,0,0.0957924555347669
root_turnover_rate,AbvGrndWood,0.6416502206381395,0.663688731554007,0.045547604848513286,0.022761468751683278,5.536823885870616,5.169622194708911,2.457789934631874,20,10,1.5770414538387405
wueConst,AbvGrndWood,0.5105960033044485,0.5376487701484616,0.05614922794238546,0.027120950209344352,4.038462382929128,4.033430969342769,0.21332873211542983,10,0,0.10892479800814382
wood_turnover_rate,AbvGrndWood,0.4865734194535364,0.5052972056987626,0.0365943027991432,0.01802725593703891,4.082933074224607,4.080472521297068,0.22606905087321985,10,0,0.10999919111599805
leafGrowth,AbvGrndWood,0.3733619638429979,0.3518934325858005,0.29160731976376353,0.5890914686831352,4.400725517710069,4.324392465868916,0.5282590176306908,20,0,0.1972318242403676
root_allocation_fraction,AbvGrndWood,0.3587599391984784,0.37193240449903087,0.027096124729910243,0.017460598641771186,4.075028455205665,4.093242720591409,0.23700134304228354,10,0,0.08502658741980736
veg_respiration_Q10,AbvGrndWood,0.33201644046313117,0.44982625853129243,0.23716754874000742,0.4698540606777264,4.314485025874277,4.294644410768264,0.14278200707461086,20,0,0.04740597375109391
GDD,AbvGrndWood,0.3177288236102239,0.2679917843115788,0.3134763740244104,0.6301927599524917,4.269119806011671,4.273316978569419,0.25515504930771304,20,0,0.08107011365474834
leaf_allocation_fraction,AbvGrndWood,0.2492383125316412,0.2588001268602924,0.018399868727230286,0.013216008351330855,4.049502988762142,4.06519566453661,0.11310585475501,10,0,0.0281903123765876
