parameter,response_var,mean_abs_elasticity,median_abs_elasticity,sd_elasticity,iqr_elasticity,mean_variance_explained,median_variance_explained,mean_cv,n_sites,n_sites_significant,constraint_priority
growth_resp_factor,AbvGrndWood,0.2409865706867248,0.21467074451526968,0.059068319951035037,0.11194240542672507,4.312585471264431,4.380370505613849,0.46809352533664866,20,0,0.11280425343153849
leaf_turnover_rate,AbvGrndWood,0.21231626529528488,0.1795813220265188,0.218788822766883,0.4361330813651544,4.380061417589297,4.384900863971544,0.5365485015164251,20,10,0.11391797399174887
psnTOpt,AbvGrndWood,0.16995413550822253,0.10902393145337409,0.18390354444134863,0.33579035659793754,3.270008356504514e-4,7.582804026279636e-5,0.020681960289068383,20,0,0.003514984681544005
Amax,AbvGrndWood,0.16965182590783276,0.1525271179322378,0.17472682001608222,0.3521576233514223,4.501161868419842,4.504991296745448,0.16571571695116047,20,10,0.028113973962389967
wood_allocation_fraction,AbvGrndWood,0.13839343314999464,0.14747896379082215,0.022424485181352736,0.013735614891687342,4.000951416236502,4.012611098778276,0.22557627473097958,10,0,0.031218275097206646
stem_respiration_rate,AbvGrndWood,0.11581614293832358,0.0887012179338446,0.12364003197334454,0.22439824397264269,4.447424002749203,4.35256534082721,0.5774976402559298,20,9,0.06688354925042533
Vm_low_temp,AbvGrndWood,0.049196158581782425,0.0010711300948167695,0.07969450639207236,0.059130791121593376,2.728390174678739e-6,1.368616306624966e-9,0.009232531884972717,20,0,4.542051027244804e-4
SLA,AbvGrndWood,0.04064514229077217,0.02703681964999148,0.045812471589238526,0.07869861602278852,4.53213063430161,4.514211651737275,0.282172947899013,20,10,0.011468959617962026
fine_root_respiration_Q10,AbvGrndWood,0.037627587862411015,0.03425557315957324,0.038697084935946494,0.07768045496631913,4.228993045049757,4.199050754383283,0.32578266632418906,20,0,0.012258415901163954
dVpdExp,AbvGrndWood,0.037242972759040795,0.03555033467135528,0.03832545425439507,0.07759907970272792,4.225669350967259,4.223566973593251,0.2414256523684643,20,0,0.008991408994492368
half_saturation_PAR,AbvGrndWood,0.03679586869702688,0.03484683591354046,0.03786460164263793,0.07591674376880417,4.218460208799132,4.221149379430258,0.42923045408650895,20,0,0.01579390742933241
leafWHC,AbvGrndWood,0.03605058675275604,0.037326163466698425,0.002477416255498206,0.001192989567810776,3.673777783701684,3.671531365024924,0.29037619461217085,10,0,0.010468232194801237
leaf_respiration_rate_m2,AbvGrndWood,0.029401804103416158,0.03146418550510913,0.013604895479989332,0.0067800866804269035,4.334312307014906,4.338131545763376,0.2974888832968732,20,0,0.008746709869638696
coarse_root_respiration_Q10,AbvGrndWood,0.022449037031834415,0.019254444542667518,0.00747939352575647,0.01442311008534292,4.262862509643666,4.235048535639914,0.32718049601626176,20,0,0.007344887071163013
extinction_coefficient,AbvGrndWood,0.02004999901484824,0.018616769668984644,0.0038993880358504395,0.007288178989350091,4.235883164599011,4.239398830176335,0.13857914661511586,20,0,0.0027785117531115826
root_respiration_rate,AbvGrndWood,0.011443246750275665,0.011810238931145953,8.150265423991952e-4,7.053729413728626e-4,4.513077446172264,4.432415651266719,0.6506929769461115,20,9,0.007446040293865789
dVPDSlope,AbvGrndWood,0.0014744987577186657,0.0010744379780710696,0.0010261665295855252,8.461907136378263e-4,4.237872748373613,4.209521402595336,0.5561754440968448,20,0,8.200800013944249e-4
stem_respiration_rate,NPP,2.891277339671992,0.30384851230952103,11.158283856410842,0.7912436981952871,5.862273913453177,5.081605374383857,0.5774976402559298,20,10,1.6697058409860177
leafC,NPP,2.214167821525465,1.5225865357542498,2.7483053882617248,3.619801624471469,4.359609514051123,4.1621445288254515,0.042187726820776955,20,0,0.09341070718987116
fracLeafFall,NPP,1.809453205959225,1.8981126595323885,1.2816261475144404,2.0327964026735392,4.1283446322007125,4.03872395664216,0.0028993116006014326,20,0,0.005246168670783034
AmaxFrac,NPP,1.257434266379461,1.1870773547174218,1.5618754365501542,1.9812800298269229,4.1681244228689005,4.1105313539506785,0.08188182554093446,20,0,0.10296101322887594
psnTOpt,NPP,1.0053111413363314,0.7275036671300968,1.041169361408054,2.0517450584476546,0.005372629534202809,0.0033347116572368983,0.020681960289068383,20,0,0.02079180510327602
wueConst,NPP,0.8316767884819128,0.47956642759882073,0.9790367821788227,0.11095234056637593,4.148688235205266,4.116866614809575,0.21332873211542983,10,0,0.17742055481667898
root_turnover_rate,NPP,0.6801444417610996,0.5596049322537017,0.3454860286449134,0.08142933039250533,5.387756668040659,5.25365176935746,2.457789934631874,20,10,1.6716521630562453
wood_turnover_rate,NPP,0.5040117964060297,0.4002100209136024,0.30451426552048694,0.05382796087263564,4.079423465513131,4.078455770150794,0.22606905087321985,10,0,0.11394146844241765
veg_respiration_Q10,NPP,0.46490013638143846,0.431504028526772,0.5173277119260298,0.48172497076297427,4.3201575468968665,4.228762840488858,0.14278200707461086,20,2,0.0663793745618021
leafGrowth,NPP,0.4245671502693856,0.46544306284548875,0.4807962733319948,0.6858437396491149,4.529730768655858,4.395615479296661,0.5282590176306908,20,2,0.22428142571956752
root_allocation_fraction,NPP,0.3768223517016091,0.30329858354683215,0.2197028280007078,0.040171830085724,4.070933220282661,4.090390346344965,0.23700134304228354,10,0,0.08930740344163307
GDD,NPP,0.32658999338804134,0.23077521705969295,0.3931336140436008,0.5076525978662993,4.116138537086755,4.030906294377642,0.25515504930771304,20,0,0.08333108586633137
coarse_root_respiration_Q10,NPP,0.30587626719784544,0.2568787969400939,0.3755158826340314,0.5128024320146252,4.585387083763837,4.375676846025648,0.32718049601626176,20,10,0.10007674882139368
growth_resp_factor,NPP,0.26464298815954856,0.22254079088555961,0.22087447524795945,0.09139850007399186,4.15298407865853,4.123213979939214,0.46809352533664866,20,0,0.12387766928322806
leaf_allocation_fraction,NPP,0.26358349256894614,0.21001275699279565,0.16525876023560257,0.02712418958154425,4.0309726942753485,4.0443188956167795,0.11310585475501,10,0,0.02981283622632148
Amax,NPP,0.23857149096474775,0.21251893296820848,0.34642814513546183,0.31319292461337234,4.33449097998322,4.265013713202418,0.16571571695116047,20,0,0.03953504566933048
leaf_turnover_rate,NPP,0.23570444944595412,0.1891049673614118,0.2756892271799892,0.3960343332557659,4.303009456921025,4.1168562231592505,0.5365485015164251,20,6,0.12646686915098065
leaf_respiration_rate_m2,NPP,0.15610213680084123,0.14566167908334954,0.18839692801629557,0.2569620945204969,4.273209037241694,4.169823578368344,0.2974888832968732,20,0,0.04643865035713799
Vm_low_temp,NPP,0.155782639062352,0.042062632001676106,0.20690391418332932,0.2937068627905368,7.1158828483639e-5,2.9291934301319456e-6,0.009232531884972717,20,0,0.0014382681822683614
wood_allocation_fraction,NPP,0.14751582549110737,0.12262001321412692,0.0759428400750375,0.016107085194895787,3.995732523672479,4.009466094262124,0.22557627473097958,10,0,0.033276070378149274
SLA,NPP,0.11171212362737697,0.10639033336707776,0.12134657561608655,0.1637046855795088,4.656555439578475,4.580158396385949,0.282172947899013,20,10,0.03152213923999594
half_saturation_PAR,NPP,0.05305604972303924,0.04060797524753757,0.07424418118532317,0.07464903470961196,4.060083006221016,3.974237390219775,0.42923045408650895,20,0,0.02277327231465653
fine_root_respiration_Q10,NPP,0.05280637919357887,0.04098516895710233,0.06898849730824301,0.08096143691751626,4.110595275712252,4.0383350495116925,0.32578266632418906,20,0,0.017203403012610304
root_respiration_rate,NPP,0.044557327217041746,0.04322355933219926,0.044882300650810864,0.0513331058330756,4.397826259691665,4.304851710483855,0.6506929769461115,20,0,0.02899313989161889
leafWHC,NPP,0.036480941127257215,0.03090685584235242,0.016495664923885586,0.0036814578297068926,3.6701614979494583,3.6692834168560897,0.29037619461217085,10,0,0.010593196860403588
dVpdExp,NPP,0.035169549954855994,0.03445647052422765,0.04262968317541757,0.05324129447579117,4.0679610559850605,3.984654997678793,0.2414256523684643,20,0,0.008490831541356403
extinction_coefficient,NPP,0.020483101226063765,0.019038156603369612,0.009965441912957031,0.006338797844564353,4.081085147794519,3.9876795864538535,0.13857914661511586,20,0,0.00283853068793895
dVPDSlope,NPP,0.003927935192852379,0.001795737610072498,0.004788522967225517,0.008258440226228337,4.1012775683828,4.000288248383854,0.5561754440968448,20,0,0.0021846211002682974
fracLeafFall,TotSoilCarb,0.9450238405882974,0.5461530634931665,0.8554808027488318,1.1895722496800978,4.05594257179188,3.678265578250426,0.0028993116006014326,20,0,0.0027399185838625694
leafC,TotSoilCarb,0.9254620499540054,0.18254564114618577,1.15845924241294,1.738640638142031,4.309213552029525,3.8761565103504787,0.042187726820776955,20,9,0.03904314014645582
AmaxFrac,TotSoilCarb,0.5250204808823815,0.11819323684326545,0.6518191917460662,0.977052706678992,4.128653487547114,3.877888251405519,0.08188182554093446,20,0,0.042989635421028675
Vm_low_temp,TotSoilCarb,0.4911839399140623,0.04425503242913323,0.8936282074898078,0.37266581410232424,3.117798296734177e-4,2.6478035689876913e-6,0.009232531884972717,20,0,0.004534871386643103
wueConst,TotSoilCarb,0.2386836096676395,0.23771586900308417,0.12980269366933947,0.14320787521935083,3.853573736136251,4.095883605293231,0.21332873211542983,10,0,0.05091807182713168
root_turnover_rate,TotSoilCarb,0.23634646839861817,0.2417950591335956,0.15397481678111927,0.23146392097878582,6.21995176145444,5.121000338989624,2.457789934631874,20,10,0.580889971115914
wood_turnover_rate,TotSoilCarb,0.1789959593385614,0.16879322783224343,0.11251782990597535,0.13026890499214058,3.8053687480191494,4.037273453983263,0.22606905087321985,10,0,0.04046544663781003
leafGrowth,TotSoilCarb,0.17463624143048323,0.08781760153635129,0.20815626059982173,0.3293385880682528,4.810106932648822,4.327749154217277,0.5282590176306908,20,1,0.09225316934078322
root_allocation_fraction,TotSoilCarb,0.158080359638334,0.15532915708872425,0.08934936108415274,0.10389800046424374,3.76646206129562,3.9833503047834613,0.23700134304228354,10,0,0.03746525754289235
GDD,TotSoilCarb,0.1432458522387582,0.030190332973667768,0.17348765957201032,0.25800688879901423,4.069708658037631,3.882269352038198,0.25515504930771304,20,0,0.03654990249110572
veg_respiration_Q10,TotSoilCarb,0.13838402580395126,0.05930262021238411,0.13987242221628607,0.19757184820978071,4.138694133959359,3.877245388366176,0.14278200707461086,20,0,0.019758748951352902
leaf_allocation_fraction,TotSoilCarb,0.10956925892222885,0.10496129201430303,0.06433852844274379,0.07173016312356281,3.785411133261469,4.008305566557886,0.11310585475501,10,0,0.0123929246852717
growth_resp_factor,TotSoilCarb,0.10168959411464826,0.09582524546852686,0.060180722740811946,0.07457076675214552,7.193270303263207,4.8814182766155,0.46809352533664866,20,4,0.047600240599178625
leaf_turnover_rate,TotSoilCarb,0.09622745252012065,0.02612049251132155,0.1180150600771066,0.1846883295766873,4.235475516672085,3.664880341014066,0.5365485015164251,20,9,0.05163069545441368
Amax,TotSoilCarb,0.07392578989077303,0.05523222940006528,0.0850386873715826,0.12900335870196744,4.299273563725661,3.9012992537414335,0.16571571695116047,20,9,0.012250665272930304
wood_allocation_fraction,TotSoilCarb,0.06356936276540819,0.06316163651141085,0.035406575984767215,0.04181996133034971,3.772699326213911,3.9989068900401388,0.22557627473097958,10,0,0.01433974003964302
coarse_root_respiration_Q10,TotSoilCarb,0.02352918848947461,0.013803035591727119,0.021197994125515995,0.025332871199674038,4.073491169805552,3.714771294365818,0.32718049601626176,20,0,0.007698291560846419
dVpdExp,TotSoilCarb,0.022196089454255902,0.02439266836500943,0.024739662145219724,0.04371289148306781,4.022717976067364,3.6850773158013705,0.2414256523684643,20,0,0.005358705376522522
psnTOpt,TotSoilCarb,0.01831986342593702,0.004112076794792212,0.028999212565691653,0.022825213462253996,3.032466045707356e-5,2.3798872957632984e-7,0.020681960289068383,20,0,3.7889068787638573e-4
fine_root_respiration_Q10,TotSoilCarb,0.01678433348131047,0.014789403847860472,0.019657822323862467,0.02915698471270979,4.036256078733961,3.6840742849042654,0.32578266632418906,20,0,0.0054680449140156835
leafWHC,TotSoilCarb,0.01676270714901389,0.01659869560818955,0.009306521282492854,0.010505038092784516,3.44821084598232,3.6664354809734587,0.29037619461217085,10,0,0.004867491113328885
half_saturation_PAR,TotSoilCarb,0.016382331192653185,0.014832920698316952,0.018439679597432073,0.028566136074841604,4.026857069790541,3.680080300800003,0.42923045408650895,20,0,0.007031795456818106
SLA,TotSoilCarb,0.014459873381343339,0.013556503457331132,0.013528610893994675,0.01071210857202045,4.568170344862098,4.375977111849812,0.282172947899013,20,5,0.004080185098260119
stem_respiration_rate,TotSoilCarb,0.012909825470658682,0.011226430396983563,0.01440818242771251,0.024964118421818927,4.04895773680519,3.699843060001701,0.5774976402559298,20,0,0.007455393745421287
leaf_respiration_rate_m2,TotSoilCarb,0.01254605783452972,0.0117417212862111,0.014095517297690157,0.023401457369341475,4.119400178601425,3.8412123392220066,0.2974888832968732,20,0,0.0037323127349722335
extinction_coefficient,TotSoilCarb,0.009284207013477225,0.009220648096910943,0.005397592626592526,0.006237053648482961,4.04032338692529,3.6709937321527892,0.13857914661511586,20,0,0.0012865974849257473
dVPDSlope,TotSoilCarb,0.004186289381904121,9.221977495186198e-4,0.004935270794324004,0.007019612451227897,4.050023505236793,3.696547615094258,0.5561754440968448,20,0,0.0023283113560984307
root_respiration_rate,TotSoilCarb,0.003799245019597555,0.00301692034118747,0.004482938319893964,0.006175926228841813,4.337307042097578,3.902653828960697,0.6506929769461115,20,9,0.002472142051949621
