runid,response_var,Var_parameter,Var_total,site_id,pft,parameter,local_param_frac,Var_parameter_param,frac_of_total
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,Amax,0.02451207469553996,-1.2918664601023675e-4,-0.008529167101788778
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,AmaxFrac,0.07027755366824345,-3.703856797505891e-4,-0.024453621579834748
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,GDD,0.06968045751642282,-3.67238787855169e-4,-0.024245857328217164
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,SLA,0.02979144663733294,-1.5701066183395167e-4,-0.010366165644072124
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,Vm_low_temp,0.24668573236966332,-0.0013001144447888884,-0.0858362198688484
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,coarse_root_respiration_Q10,0.02190837864226915,-1.1546431672844206e-4,-0.007623190802497581
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,dVPDSlope,0.0254323416185642,-1.340367535060863e-4,-0.008849381137614595
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,dVpdExp,0.07989616741408005,-4.2107891826779565e-4,-0.027800493068470107
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,extinction_coefficient,0.00554355411142335,-2.9216342212001615e-5,-0.0019289227836247179
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,fine_root_respiration_Q10,0.04627636020261826,-2.438915448158951e-4,-0.016102219576807818
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,fracLeafFall,0.01550169905634497,-8.169902113237438e-5,-0.005393936794638799
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,growth_resp_factor,0.02214573170475935,-1.167152449523572e-4,-0.007705779647270829
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,half_saturation_PAR,0.05818172870486211,-3.0663672838049334e-4,-0.020244785174589983
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,leafC,0.0154053328687597,-8.11911398241798e-5,-0.005360405429909945
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,leafGrowth,0.07465036835235929,-3.9343184249616953e-4,-0.025975176471015212
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,leaf_respiration_rate_m2,0.0232577661147785,-1.225760297885133e-4,-0.008092720672206519
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,leaf_turnover_rate,0.04774389188604576,-2.5162591648579915e-4,-0.016612858643904004
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,psnTOpt,0.02340814193308092,-1.2336855950494195e-4,-0.008145045108154935
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,root_respiration_rate,0.00507534233201359,-2.6748713088162607e-5,-0.0017660048521475297
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,root_turnover_rate,0.00263459109755855,-1.3885156263983885e-5,-9.167264703240567e-4
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,stem_respiration_rate,0.04252249861245394,-2.2410746719523495e-4,-0.01479603423031311
0457344866426f5e200dc92fc2b1e303,AbvGrndWood,-0.005270326874197337,0.015146455036992195,0633a0f257ea79ca,grass,veg_respiration_Q10,0.04946884046082586,-2.6071695931607105e-4,-0.017213067921128863
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,Amax,0.00610507991451077,1.2744068072541022e-20,0.011443031174880481
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,AmaxFrac,0.04331875865121022,9.042587759692533e-20,0.08119433531487928
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,GDD,0.03880475857056738,8.100311407659263e-20,0.07273353801664306
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,SLA,0.17888056426858998,3.734047907341997e-19,0.3352840424972091
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,Vm_low_temp,0.1159340628444548,2.420069203851491e-19,0.21730052905719566
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,coarse_root_respiration_Q10,0.01763678911487681,3.6815970340832474e-20,0.03305744240736949
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,dVPDSlope,0.01445416123533587,3.0172383866225803e-20,0.02709209706322929
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,dVpdExp,0.03839758911909673,8.01531669376096e-20,0.07197036164681973
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,extinction_coefficient,0.00317552035046308,6.6287498409074946e-21,0.00595202337654057
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,fine_root_respiration_Q10,0.02653098488595797,5.538218699063499e-20,0.04972824130093773
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,fracLeafFall,0.01085241000936066,2.265389705738205e-20,0.020341169615901825
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,growth_resp_factor,0.0138096201544728,2.8826934580534285e-20,0.025884004165988593
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,half_saturation_PAR,0.02866960074918865,5.984644733180563e-20,0.05373674705953986
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,leafC,0.01671148451714507,3.4884440377842064e-20,0.03132310157868715
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,leafGrowth,0.05808043519723015,1.2124018525572778e-19,0.10886282242315072
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,leaf_respiration_rate_m2,0.3014320728106444,6.292253187407834e-19,0.5649879534062505
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,leaf_turnover_rate,0.01302604661295646,2.7191261552046745e-20,0.024415316353717506
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,psnTOpt,5.911965073583324e-4,1.2340949896684265e-21,0.0011081067175062482
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,root_respiration_rate,0.0045408364436915,9.478783169919712e-21,0.008511097923827773
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,root_turnover_rate,0.00201630691772694,4.208946152133478e-21,0.0037792564947162484
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,stem_respiration_rate,0.00452800674475438,9.452001774934815e-21,0.008487050630924553
0457344866426f5e200dc92fc2b1e303,NPP,2.0874531129806293e-18,1.1136968760966544e-18,0633a0f257ea79ca,grass,veg_respiration_Q10,0.06250371438040707,1.3047357315623286e-19,0.1171535773841117
0457344866426f5e200dc92fc2b1e303,Qle,0.6135596131389109,0.08272593193635207,0633a0f257ea79ca,NA,NA,NA,NA,NA
0457344866426f5e200dc92fc2b1e303,SoilMoistFrac,-5.904042258330004e-4,5.495219849378673e-5,0633a0f257ea79ca,NA,NA,NA,NA,NA
0457344866426f5e200dc92fc2b1e303,TotSoilCarb,0.3442763440492107,0.27033939437622756,0633a0f257ea79ca,grass,Amax,0.026821073505983454,0.00923386113011513,0.03415655032971071
