response_var,parameter,mean_frac,median_frac,sd_frac,n_sites
AbvGrndWood,Vm_low_temp,0.07154500552246935,-0.0045816005863046055,0.3115356857866234,10
AbvGrndWood,psnTOpt,0.030092269567316473,-7.268799685234224e-4,0.10297596233302024,10
AbvGrndWood,wood_turnover_rate,0.020833202265397435,-1.5460654319938419e-4,0.04653416729409418,5
AbvGrndWood,wood_allocation_fraction,0.020248462887635345,-1.5026709827312284e-4,0.04522806179568886,5
AbvGrndWood,root_allocation_fraction,0.019499885780251813,-1.4471178721645487e-4,0.043555999483627886,5
AbvGrndWood,stem_respiration_rate,0.018287202927765204,-8.644010826216666e-4,0.07237659217904854,10
AbvGrndWood,extinction_coefficient,0.017119285637732004,-3.326694963806167e-4,0.055945524115131866,10
AbvGrndWood,root_turnover_rate,0.01454064672699359,-2.056321635036185e-4,0.046820388809783835,10
AbvGrndWood,half_saturation_PAR,0.0111921606357409,-0.0010093580285407786,0.05575810810795832,10
AbvGrndWood,root_respiration_rate,0.009923533664099865,-2.07688407672998e-4,0.033059460181690925,10
AbvGrndWood,GDD,0.007676288174305029,-0.0011370383672177342,0.0491039471117672,10
AbvGrndWood,leafC,0.006333912138558961,-3.095092717414119e-4,0.025305922107316435,10
AbvGrndWood,leaf_respiration_rate_m2,0.006170521818369503,-4.2475188674702966e-4,0.02757486193883856,10
AbvGrndWood,wueConst,0.004633458995815221,-3.43856440922149e-5,0.010349544602641904,5
AbvGrndWood,coarse_root_respiration_Q10,0.004027979478327375,-3.777374325315895e-4,0.020417097116649588,10
AbvGrndWood,SLA,0.0033355526775876803,-4.868056580386531e-4,0.021158091928261426,10
AbvGrndWood,growth_resp_factor,0.002427517635705176,-3.6121943073582323e-4,0.015568982645597895,10
AbvGrndWood,fine_root_respiration_Q10,0.002356213411303076,-7.207619140203024e-4,0.024321182056277837,10
AbvGrndWood,leaf_allocation_fraction,0.0022213257862062595,-1.6484815764277438e-5,0.004961673411182398,5
AbvGrndWood,veg_respiration_Q10,0.00217507819845285,-7.661769120892371e-4,0.024978806513059486,10
AbvGrndWood,leafWHC,0.0019667474682637277,-1.4595549140298944e-5,0.004393033511964251,5
AbvGrndWood,dVpdExp,0.001381898207181034,-0.0012107230354100676,0.03411501477861167,10
AbvGrndWood,Amax,0.0013794575428945843,-3.8342678329469833e-4,0.013274459686986796,10
AbvGrndWood,AmaxFrac,2.2774555141482814e-4,-0.0010525825322373697,0.027196176678763267,10
AbvGrndWood,fracLeafFall,-5.804149899896977e-4,-2.2427099339480258e-4,0.0043216033203081145,10
AbvGrndWood,dVPDSlope,-0.0012249594198443692,-3.6452384975213005e-4,0.006445681703093393,10
AbvGrndWood,leaf_turnover_rate,-0.0029523994336112785,-6.76133733685289e-4,0.010715110493033583,10
AbvGrndWood,leafGrowth,-0.0038816699410433747,-0.0010663833043541959,0.018281106298751248,10
NPP,Vm_low_temp,0.6876102888985028,0.5089765848316986,0.47442741399466776,10
NPP,leaf_respiration_rate_m2,0.496982144722907,0.28302298871681697,0.5224776968527401,10
NPP,SLA,0.3043368127913543,0.18339232878106018,0.30185558213001723,10
NPP,psnTOpt,0.16971594620811506,0.08332378169727903,0.20339338028085155,10
NPP,wueConst,0.14824541479840198,0.15928556120776216,0.06600743924132456,5
NPP,GDD,0.1324249461329067,0.1443306626258723,0.057072718888897735,10
NPP,veg_respiration_Q10,0.1293467555261564,0.10182139894787004,0.0878784648676236,10
NPP,half_saturation_PAR,0.12075810212326679,0.1103110647891925,0.06268834190293271,10
NPP,leafGrowth,0.1084664993829638,0.07537877052723282,0.09007719585848041,10
NPP,stem_respiration_rate,0.10312987148237474,0.056925424797416566,0.11014004679820351,10
NPP,AmaxFrac,0.10219595199625232,0.08058767215759839,0.054282710952500576,10
NPP,wood_allocation_fraction,0.09948877650017163,0.10689791397766917,0.04429816179447586,5
NPP,wood_turnover_rate,0.09765717728636958,0.10492991173574553,0.043482627809941464,5
NPP,dVpdExp,0.09475544293754715,0.0787365200506317,0.046731884373522305,10
NPP,extinction_coefficient,0.09121980427904489,0.049099098315759405,0.10007869130253709,10
