runid,site_id,variable,category,Var_category,Var_total,Var_interaction,frac_of_total
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,Qle,interaction,0,0.0731096135409188,0,0
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,Qle,parameter,3.3193090135993235,0.0731096135409188,0,45.40181315199452
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,SoilMoistFrac,IC,-3.0391846712188977e-5,2.048901704066897e-4,0.006993495855443815,-0.148332380474201
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,SoilMoistFrac,driver,5.83580571392331e-4,2.048901704066897e-4,0.006993495855443815,2.84826046185609
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,SoilMoistFrac,dummy,0,2.048901704066897e-4,0.006993495855443815,0
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,SoilMoistFrac,interaction,0.006993495855443815,2.048901704066897e-4,0.006993495855443815,34.13290077099509
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,SoilMoistFrac,parameter,-0.0073417944097172675,2.048901704066897e-4,0.006993495855443815,-35.832828852376984
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,TotSoilCarb,IC,1.0443442781106196,4.498300942315526,1.9865321293857825,0.232164164092818
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,TotSoilCarb,driver,1.8079036854008663e-5,4.498300942315526,1.9865321293857825,4.01908122329903e-6
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,TotSoilCarb,dummy,0,4.498300942315526,1.9865321293857825,0
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,TotSoilCarb,interaction,1.9865321293857825,4.498300942315526,1.9865321293857825,0.44161832542115426
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,TotSoilCarb,parameter,1.4674064557822697,4.498300942315526,1.9865321293857825,0.3262134914048045
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,AbvGrndWood,IC,-0.16578550624826086,0.10152681304270486,0.29636670805549603,-1.63292337540948
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,AbvGrndWood,driver,5.5580261083617975e-5,0.10152681304270486,0.29636670805549603,5.474441619697e-4
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,AbvGrndWood,dummy,0,0.10152681304270486,0.29636670805549603,0
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,AbvGrndWood,interaction,0.29636670805549603,0.10152681304270486,0.29636670805549603,2.9190979128916057
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,AbvGrndWood,parameter,-0.029109969025613903,0.10152681304270486,0.29636670805549603,-0.2867219816440951
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,NPP,IC,-8.494125762628207e-18,1.060652087116921e-18,7.155032203353896e-18,-8.00839961171156
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,NPP,driver,-8.23762155122211e-20,1.060652087116921e-18,7.155032203353896e-18,-0.0776656327864656
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,NPP,dummy,0,1.060652087116921e-18,7.155032203353896e-18,0
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,NPP,interaction,7.155032203353896e-18,1.060652087116921e-18,7.155032203353896e-18,6.745880473212289
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,NPP,parameter,2.482121861903453e-18,1.060652087116921e-18,7.155032203353896e-18,2.3401847712857387
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,Qle,IC,0.09404817595247772,0.004668770619746392,0.09360238809366732,20.1440986530168
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,Qle,driver,-2.542832651546915,0.004668770619746392,0.09360238809366732,-544.647158460109
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,Qle,dummy,0,0.004668770619746392,0.09360238809366732,0
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,Qle,interaction,0.09360238809366732,0.004668770619746392,0.09360238809366732,20.0486157314689
