site_id,lat,lon,pft,parameter,response_var,coefficient_of_variation,elasticity,partial_variance,sensitivity,variance_explained
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,leafC,AbvGrndWood,0.0019040599744806282,-449.54633150386815,0.013086299988590447,-31.969170951152957,1.3086299988590446
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,fracLeafFall,AbvGrndWood,0.0028875938407236573,275.03118215877385,0.020416470183513395,320.6914435996441,2.0416470183513393
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,GDD,AbvGrndWood,0.04472189575753702,30.034606222425943,0.07544656284440754,0.30672960214405826,7.544656284440753
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,root_respiration_rate,AbvGrndWood,0.10911585449069874,-13.942961987533206,0.08954735590434326,-7.4391899833637085,8.954735590434327
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,leaf_allocation_fraction,AbvGrndWood,0.1131392104796751,13.89975489534957,0.10613280545259196,378.51281818292495,10.613280545259196
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,extinction_coefficient,AbvGrndWood,0.13850234401098002,-9.7652264716326,0.017313487911046678,-41.300047264918426,1.7313487911046679
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,veg_respiration_Q10,AbvGrndWood,0.11203934295357594,-6.8811626834803645,0.0018877890468851203,-1.8744635631921063,0.18877890468851202
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,dVpdExp,AbvGrndWood,0.19405395551812396,6.5444429990069795,0.02150397178209425,12.30430432996998,2.150397178209425
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,Amax,AbvGrndWood,0.23881906569703024,-5.841594376317084,0.04856151638033997,-3.5331744947569055,4.856151638033997
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,wueConst,AbvGrndWood,0.2125011807431197,4.386715668647421,0.007625267931800359,0.594777672953277,0.7625267931800359
000f186bcf4b2be5,37.29108,-121.04882,temperate.deciduous,fine_root_respiration_Q10,AbvGrndWood,0.3277150105646838,4.09188809294466,0.006453901363765802,2.0873828998795707,0.6453901363765802
